28092023	10:22:03	cc5e62c3-cc18-49f3-bf36-1e4685928f1a	Something changed
28092023	10:22:44	8bbab214-c600-4493-9148-a0a7e1d8906a	Something changed
29092023	10:28:56	44e2cd00-aff7-4195-9ce7-d3ba1d63e036	/	GET
29092023	10:28:56	ccc58d67-7a41-4903-8a46-c1e0dcfd9395	/css/stylesheet.css	GET
29092023	10:28:56	f4fdf9e5-99c1-494a-a3c9-34ff705dd0b0	/favicon.ico	GET
29092023	10:29:15	ef8b22c1-881f-4b5b-ae57-6bdcd6af1af1	/404	GET
29092023	10:29:15	8eff4a95-3869-43b0-8003-e824c66dee3a	/css/stylesheet.css	GET
29092023	10:29:34	bb2e3418-ec1f-47d1-b1f0-5cea2e556179	/old-page	GET
29092023	10:29:34	c5a7e315-19d1-4cc0-8503-0d7028cfafdb	/new-page.html	GET
29092023	10:29:34	5752b678-c6c0-4762-b8f5-8f41b3043d8c	/css/stylesheet.css	GET
29092023	10:29:34	010ce17d-d7c4-43d5-9c96-81bdcd408334	/img/index.jpg	GET
29092023	10:29:55	0574a5d5-a050-4f7c-a76f-65635292ae7d	/bvjhk%C3%B8f%20bvk%C3%B8fda	GET
29092023	10:29:55	b6a4bdde-9f84-45b5-863e-d870cae5415e	/css/stylesheet.css	GET
03102023	10:17:46	c5ea0bd6-4455-499f-a23a-6221083baaaa	GET	https://www.google.com	/
03102023	10:21:59	3a61a492-6422-44f2-9588-e50b112e4a33	GET	https://www.google.com	/
03102023	10:38:30	0e3206ea-8d58-4558-8bb8-70dc0955646e	GET	undefined	/
03102023	10:38:30	d8ac3ab2-62a2-4cb1-87a8-c5a40616c176	GET	undefined	/favicon.ico
03102023	10:38:42	56ea05bd-90cb-421f-acaf-878e4a42b189	GET	undefined	/
03102023	10:38:43	879ee08c-49ab-40fc-9b97-1c90e0b6b719	GET	undefined	/favicon.ico
03102023	10:39:31	a2199a8f-6c32-4fc4-a86b-d743bbace16e	GET	undefined	/
03102023	10:39:32	1af25d37-f4b1-439b-bc1f-bc618c4df078	GET	undefined	/css/stylesheet.css
03102023	10:39:32	6ccb6cf3-cd22-45f9-a685-6083c092b585	GET	undefined	/favicon.ico
03102023	10:49:24	6cacea25-26a6-4f29-abf2-440d84e10c4a	GET	undefined	/
03102023	10:49:24	bef495f4-c048-41ad-8798-7be87c8741b7	GET	undefined	/css/stylesheet.css
03102023	10:49:24	d86796b7-11aa-4a47-9658-23478cc7f96a	GET	undefined	/favicon.ico
03102023	10:49:30	190a0c13-9e54-40a5-8285-2bc8faa0d518	GET	undefined	/new-page.html
03102023	10:49:30	1e7921fc-90de-48a8-915f-7deeae6b036a	GET	undefined	/css/stylesheet.css
03102023	10:49:30	71277db5-28c0-4e4c-9ae0-c96e346d2abf	GET	undefined	/img/index.jpg
03102023	10:49:38	aa6b718a-4090-41bf-bec5-678eed2d842b	GET	undefined	/bhkpbvhi%C3%B8
03102023	10:49:38	b51eb11f-514a-44d5-95e0-d24bc73e0e64	GET	undefined	/css/stylesheet.css
05102023	09:09:41	bec0ee24-c189-4a61-91a7-8f23d08dc14f	GET	undefined	/
05102023	09:09:41	03b3a937-c8d9-4a88-98c9-f8b94c0417c2	GET	undefined	/css/stylesheet.css
05102023	09:09:53	41222e29-b8d3-4c66-b211-20e36899c3c1	GET	undefined	/subdir/
05102023	09:11:27	b1fd2360-d0bc-4eb5-995d-8706df8afa36	GET	undefined	/subdir/subdir
05102023	09:11:37	f879738e-8b0f-4e24-8bcf-e47d33ed5523	GET	undefined	/subdir
05102023	09:11:48	17fa29ad-6112-4162-9247-eaadd9e7e267	GET	undefined	/subdir/subdir.html
05102023	09:12:04	67afc145-6832-4372-b4a9-fbb30f7638c6	GET	undefined	/subdir
05102023	09:15:09	1f1f8134-676b-4109-b237-cc4a3c795fff	GET	undefined	/subdir
05102023	09:15:09	b5f5c5cc-d139-4035-9c8d-55ca670c4e4e	GET	undefined	/css/stylesheet.css
05102023	09:15:09	00302105-36bf-4ed2-a050-f6f5329f44d6	GET	undefined	/favicon.ico
05102023	09:18:23	cf88bd2a-a143-4bf7-a5b9-d5668e85728e	GET	undefined	/subdir
05102023	09:18:23	97fae9fb-c5d8-4838-9255-ba57795f146e	GET	undefined	/css/stylesheet.css
05102023	09:26:40	9a9d46b5-92e2-4428-908c-5563996364c0	GET	undefined	/
05102023	09:26:40	f78d128e-44b7-4a3c-8ddc-a4e7e2cb041d	GET	undefined	/css/stylesheet.css
05102023	09:26:49	707e59d6-a899-42ed-800e-347827eb6f98	GET	undefined	/new-page.html
05102023	09:26:49	0ed6a48a-6c6e-4159-94bf-7955ae32882c	GET	undefined	/css/stylesheet.css
05102023	09:26:49	14cddcac-16d9-4ae1-b34a-aecb90982337	GET	undefined	/img/index.jpg
05102023	09:26:49	fc8b15fe-b758-442c-9267-883ddd413d1d	GET	undefined	/favicon.ico
05102023	09:26:58	bdf141f2-4493-4006-997a-609510280112	GET	undefined	/vchdwvchkds%C3%98A
05102023	09:49:31	469cc203-ff5b-47e6-8f20-772e238fd951	GET	undefined	/employees
05102023	09:59:39	cf680cba-a889-48c2-ac41-9c6b91625bc1	POST	undefined	/employees
05102023	10:00:26	0790e37f-0407-4490-b0c6-e5398a20e403	PUT	undefined	/employees
05102023	10:00:52	b06cf0ea-6b82-459a-b57b-209a961bc64e	DELETE	undefined	/employees
05102023	10:01:15	db0b68b8-8c45-4e52-870a-6ca1736d1ff7	GET	undefined	/employees
06102023	09:50:43	5c646409-6409-4a0d-9baf-e5e796a58b15	POST	undefined	/register
06102023	10:00:12	8ba08254-90fd-490c-a453-4c1641efa985	POST	undefined	/register
06102023	10:23:32	26c7d9f7-b1dc-4ee8-8613-80cfc5c1f3f8	POST	undefined	/auth
06102023	10:23:51	ffec449d-d591-42c1-9d19-4e83dc564da6	POST	undefined	/auth
15102023	18:01:40	fe2070fc-22d3-4724-8014-57e68d00244e	GET	undefined	/
15102023	18:01:40	2f55bd4c-1b91-40eb-a928-d9e6f7defcb1	GET	undefined	/css/stylesheet.css
15102023	18:01:40	1e170f1c-39dd-4721-8496-7e050589fe39	GET	undefined	/favicon.ico
15102023	18:47:04	00051bf0-9dc2-4e10-88df-dde9d99efdae	GET	undefined	/portfolio
15102023	18:47:04	73c85464-d492-44d3-8984-526afec645bc	GET	undefined	/styles.css
15102023	18:47:04	cea072f3-fb71-4d5b-a603-23a80cce85b5	GET	undefined	/Assets/Eirik.jpg
15102023	18:47:04	2f91184e-b1b4-4de9-a939-8aeb1b44def3	GET	undefined	/Assets/html.svg
15102023	18:47:04	f7882847-0201-4297-9b89-6730bd6ccdc3	GET	undefined	/page.js
15102023	18:47:04	30bd78d2-6886-4e02-a5fe-8d3c8e5088f6	GET	undefined	/Assets/figmaNoBackground.svg
15102023	18:47:04	f119dc4f-2041-4b55-8195-31fe08d3932d	GET	undefined	/Assets/css.svg
15102023	18:47:04	14e94e1b-a8a3-4179-8f64-e7ea107e2799	GET	undefined	/Assets/javascript.svg
15102023	18:47:04	ee377fa5-4656-4f8e-a002-3616f58c37c9	GET	undefined	/Assets/react.svg
15102023	18:47:04	e1d0df8b-006a-4ee2-9c0e-b264f142695e	GET	undefined	/Assets/Prosjekt_Vekt_i_Verdensrommet_720.png
15102023	18:47:04	b393938e-ee2c-4976-bab8-10b9da48c313	GET	undefined	/Assets/Prosjekt_Lyder_i_Verdensrommet_720.png
15102023	18:47:04	d94db878-f514-424a-95a2-a0c3ba7198a2	GET	undefined	/Assets/THREE%20PARTS%20TO%20GOOD%20HEALTH.png
15102023	18:47:04	c17a8a6a-f64f-407c-b2d0-3d1909ea4995	GET	undefined	/Assets/Image_Gallery_Using_felxbox.png
15102023	18:51:02	45f4fd3c-f2d4-411d-b28a-3d829591adb9	GET	undefined	/portfolio
15102023	18:51:02	85b6d367-8708-4326-a822-be8d1411cb47	GET	undefined	/public/css/portfolio.css
15102023	18:51:02	7a6e3337-beb2-44ed-be89-5bb239ceb702	GET	undefined	/Assets/Eirik.jpg
15102023	18:51:02	b496a35a-033e-4df1-9b07-6a0c3df25242	GET	undefined	/Assets/html.svg
15102023	18:51:02	fb74c125-dca7-485a-83ad-642689eaef6e	GET	undefined	/Assets/css.svg
15102023	18:51:02	0eae38f2-e3c1-463a-9482-4dc5658ece1e	GET	undefined	/Assets/javascript.svg
15102023	18:51:02	77e5c1f4-481f-49cb-a1b9-f536b3eafe45	GET	undefined	/Assets/react.svg
15102023	18:51:02	0a9eff8e-d795-4f7b-80db-4f960b10b734	GET	undefined	/page.js
15102023	18:51:02	742f82c6-0a93-4534-b428-5f27c2b0ff07	GET	undefined	/Assets/figmaNoBackground.svg
15102023	18:51:02	c75655a6-3dfb-4097-a00f-3168fa267e0b	GET	undefined	/Assets/Prosjekt_Vekt_i_Verdensrommet_720.png
15102023	18:51:02	ec513c55-9b47-4411-88ef-c7276c71f3f7	GET	undefined	/Assets/Prosjekt_Lyder_i_Verdensrommet_720.png
15102023	18:51:02	bd5fd4f5-0f11-4293-a2a6-2888c5f0998d	GET	undefined	/Assets/THREE%20PARTS%20TO%20GOOD%20HEALTH.png
15102023	18:51:02	ddde9714-2a77-4101-be87-4d0f95ab40a5	GET	undefined	/Assets/Image_Gallery_Using_felxbox.png
15102023	18:51:03	11ebc51d-486d-429b-9473-af3428a38d77	GET	undefined	/portfolio
15102023	18:51:03	a86a7d6c-89e4-44d5-8dcb-31b82376fea7	GET	undefined	/public/css/portfolio.css
15102023	18:51:03	fbb11314-eca6-4fd5-8781-144b28eeb502	GET	undefined	/Assets/Eirik.jpg
15102023	18:51:03	af9c22f5-e661-41b5-8d58-f3527053cda8	GET	undefined	/Assets/html.svg
15102023	18:51:03	fd95f8ba-e2b4-4be4-ba09-0cf6ed7d3daf	GET	undefined	/Assets/css.svg
15102023	18:51:03	4043dcb5-a318-4269-bc6a-97db63def4c8	GET	undefined	/Assets/javascript.svg
15102023	18:51:03	41cd864c-bf24-4fd1-9d25-0b40d8d9d7f4	GET	undefined	/Assets/react.svg
15102023	18:51:03	9dedbcf3-7201-43b5-95b5-bea570bb7cae	GET	undefined	/page.js
15102023	18:51:03	9d2e4049-0a87-44db-bd5a-22b2befa5551	GET	undefined	/Assets/figmaNoBackground.svg
15102023	18:51:03	883c4b3f-43de-4908-b975-70cc3760e90d	GET	undefined	/Assets/Prosjekt_Vekt_i_Verdensrommet_720.png
15102023	18:51:03	3ef71be5-7542-4a1f-84fc-08501998a761	GET	undefined	/Assets/Prosjekt_Lyder_i_Verdensrommet_720.png
15102023	18:51:03	4ca41c6b-94db-4deb-a139-405a9a15363c	GET	undefined	/Assets/THREE%20PARTS%20TO%20GOOD%20HEALTH.png
15102023	18:51:03	b91a5d3a-c0c8-474c-ab46-d5c9b6d275d2	GET	undefined	/Assets/Image_Gallery_Using_felxbox.png
15102023	18:51:04	74132121-0935-4d7f-982b-59624c4c7974	GET	undefined	/portfolio
15102023	18:51:04	9043b6c1-29e7-4110-9957-dab806686f5d	GET	undefined	/public/css/portfolio.css
15102023	18:51:04	f7b84efe-ba0e-458b-990b-1d4bc02f7b45	GET	undefined	/page.js
